time,source,destination,protocol,source_port,destination_port,size
12:07:08,192.168.1.14,142.250.29.94,HTTPS,58525,443,55
12:07:08,142.250.29.94,192.168.1.14,HTTPS,443,58525,70
12:07:09,192.168.1.14,20.42.73.24,HTTPS,49285,443,167
12:07:09,192.168.1.14,20.42.73.24,HTTPS,49285,443,5943
12:07:09,172.64.146.215,192.168.1.14,UDP,443,52131,663
12:07:09,192.168.1.14,172.64.146.215,UDP,52131,443,88
12:07:09,20.42.73.24,192.168.1.14,HTTPS,443,49285,60
12:07:09,20.42.73.24,192.168.1.14,HTTPS,443,49285,60
12:07:09,20.42.73.24,192.168.1.14,HTTPS,443,49285,154
12:07:09,192.168.1.14,20.42.73.24,HTTPS,49285,443,89
12:07:09,192.168.1.14,54.192.142.91,HTTPS,64210,443,55
12:07:09,54.192.142.91,192.168.1.14,HTTPS,443,64210,70
12:07:09,142.251.154.4,192.168.1.14,HTTPS,443,52189,114
12:07:09,142.251.154.4,192.168.1.14,HTTPS,443,52189,58
12:07:09,192.168.1.14,142.251.154.4,HTTPS,52189,443,54
12:07:09,192.168.1.14,192.168.1.1,DNS,54008,53,92
12:07:09,20.42.73.24,192.168.1.14,HTTPS,443,49285,60
12:07:09,192.168.1.1,192.168.1.14,DNS,53,54008,215
12:07:09,192.168.1.14,20.89.1.12,HTTPS,58715,443,66
12:07:10,20.89.1.12,192.168.1.14,HTTPS,443,58715,66
